Latitude,Longitude,UseCategory,Buildings,Units,Stories,Rooms,Beds,YearBuilt,Baths,Area,LandValue,ImprovementValue,HomeValue,LatestDocument
37.7414586,-122.2444506,Single-family Detached,1,1,0,0,0,1981,0.0,2076,113976,232247,346223,1981
37.7680799,-122.236872,Single-family Detached,1,1,1,5,2,1925,1.0,918,37215,16365,53580,1982
37.7601396,-122.2308885,Single-family Detached,1,1,1,6,2,1920,1.0,1190,50666,21297,71963,1982
37.7736874,-122.2858354,Single-family Detached,1,1,1,4,1,1916,1.0,652,68597,29261,97858,1982
37.7741804,-122.2840413,Single-family Detached,1,1,1,6,2,1912,2.0,1424,111688,42897,154585,1982
37.7696321,-122.2699746,Single-family Detached,1,1,1,4,2,1909,1.0,830,127920,26666,154586,1982
37.7555567,-122.2442512,Single-family Detached,1,1,1,6,3,1953,2.0,1463,126567,91784,218351,1982
37.7607376,-122.2278301,Single-family Detached,1,1,2,7,3,1920,1.5,1882,157678,93524,251202,1982
37.769083,-122.2677441,Single-family Detached,1,1,1,7,4,1926,1.0,1682,181252,69950,251202,1982
37.7629134,-122.2277858,Single-family Detached,1,1,1,7,3,1927,1.0,1505,192266,65699,257965,1982
37.7299128,-122.2318192,Single-family Detached,1,1,1,6,3,1964,2.0,1525,154393,137940,292333,1982
37.7626122,-122.2284063,Single-family Detached,1,1,1,8,4,1928,1.0,2272,217196,93911,311107,1982
37.7420653,-122.2390437,Single-family Detached,1,1,0,0,0,1980,0.0,2310,57003,281154,338157,1982
37.7417914,-122.2455585,Single-family Detached,1,1,0,0,0,1980,0.0,2350,117404,248055,365459,1982
37.7321319,-122.244373,Townhouse,1,1,2,5,3,1971,1.5,1340,21073,57391,78464,1983
37.7590995,-122.2451929,Single-family Detached,1,1,2,6,3,1886,1.5,1666,60978,18607,79585,1983
37.7616181,-122.2636385,Single-family Detached,1,1,1,6,4,1963,2.0,1393,44613,49993,94606,1983
37.7723688,-122.2636911,Single-family Attached,2,2,1,10,4,1903,2.0,2015,85122,29201,114323,1983
37.7740094,-122.2756458,Single-family Attached,1,2,2,10,5,1895,3.0,2138,141134,44925,186059,1983
37.7727115,-122.2630751,Single-family Attached,1,2,0,0,0,1908,0.0,1094,162541,26900,189441,1983
37.7766346,-122.2813167,Single-family Detached,1,1,2,8,4,1900,2.0,2055,123516,67373,190889,1983
37.7345738,-122.2465245,Townhouse,1,1,2,5,3,1968,1.5,1280,78343,123137,201480,1983
37.75903,-122.2355312,Single-family Detached,1,1,2,6,3,1900,1.0,1289,171977,30917,202894,1983
37.7754881,-122.2604481,Single-family Detached,1,1,1,5,2,1908,1.0,1264,167087,45087,212174,1983
37.75373,-122.2412597,Single-family Detached,1,1,1,6,2,1930,1.0,1522,154016,60053,214069,1983
37.7716991,-122.255042,Single-family Attached,1,2,0,0,0,1895,0.0,1663,94721,121272,215993,1983
37.770232,-122.2524489,Single-family Detached,1,1,1,5,2,1923,2.0,1748,155152,86743,241895,1983
